ros_time,state,stage,phase,progress,energy_min_remaining_fraction,energy_min_usable_margin_wh,energy_max_required_to_land_wh,energy_all_reserve_safe,energy_return_level,energy_return_action,energy_return_safety_override,energy_return_slots,energy_landing_order,energy_return_control_mode,energy_return_control_applied,energy_alternate_landing,energy_diversion_state,dynamic_action,dynamic_risk,speed_scale,avoidance_state,avoidance_offset_x,avoidance_offset_y,avoidance_offset_z,avoidance_failure,avoidance_algorithm,orca_max_command_speed_mps,planner_viable,planner_reason,planner_time_ms,planner_rejections,mpc_viable,mpc_total_solve_ms,mpc_max_solve_ms,mpc_solver_retries,mpc_warm_started_vehicles,mpc_rejections,mpc_consensus_strength,predicted_separation_m,dynamic_clearance_m,dynamic_time_to_conflict_s,safety_level,safety_message,min_separation_m,min_clearance_m,max_tracking_error_m,track_count,observed_track_count,mean_track_confidence,max_occlusion_s,track_ids,uav0_x,uav0_y,uav0_z,uav1_x,uav1_y,uav1_z,uav2_x,uav2_y,uav2_z
0.252,INITIALIZING,2,TAKEOFF_HOLD,0.0,1.0,160.0,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
0.4,INITIALIZING,2,TAKEOFF_HOLD,0.0,1.0,160.0,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
0.6,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9999,159.9705,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
0.8,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9999,159.9705,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
1.0,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9999,159.9705,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
1.2,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9997,159.9465,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
1.4,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9997,159.9465,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
1.6,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9996,159.9198,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
1.8,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9996,159.9198,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
2.0,INITIALIZING,2,TAKEOFF_HOLD,0.0,0.9996,159.9198,11.127,True,NORMAL,MONITOR,False,{},"[""uav2"", ""uav1"", ""uav0""]",limited,False,{},NONE,SLOW,STALE,0.35,IDLE,0.0,0.0,0.0,,,0.0,,,,{},,,,,,,,,,,,,,,,0,0,0.0,0.0,[],,,,,,,,,
